No,Sus,Tech,Attr,Access,Amen,Pack,Act,Serv
1,6.3,5,7,7,7,5.8,5.5,7
2,4.3,4,4,3.5,4,4,4,4
3,3,4,5.3,3.5,4,4.3,4,4.5
4,5.7,6,5.7,5.5,5.8,5.3,5.8,5.5
5,3.7,4,6,3.5,5.8,5,5.3,7
6,4.3,4,6.3,3,3.5,4.3,4.3,5.3
7,3,4.3,6,4.8,5.8,5.3,4.8,6.3
8,6.3,6.7,7,6.3,6.8,6.5,6.3,6.3
9,6,5,6.7,4.5,6,5.8,5,6
10,5.3,6,7,5.8,6.8,6.5,4.8,6
11,5.7,5.7,7,6.3,7,6.8,6.5,7
12,4.3,6,7,4.5,7,5.8,6.8,7
13,5.7,5.3,5.7,5.5,6,5.8,5,5.5
14,5,4,6,3.8,4,4,5.5,5.5
15,4.7,6,7,4.5,5.8,3,3.8,5.8
16,3.7,4,6,5,5,4,3.3,5.5
17,4.7,5.7,5,4.5,5.8,4.5,3.5,6
18,6.3,6.3,7,6.3,6.3,6,6.8,6.5
19,6.7,6.7,7,6.8,7,7,7,6.8
20,5,4.7,7,7,5.3,6,6,6
21,5.7,5.7,5.7,5.5,5.8,5.5,5.8,7
22,3.7,4,4,5,5,5,5,5
23,4.3,5,6,5,6,5.3,4,5.8
24,2.3,2.3,4.3,4.3,3.8,3.5,2.3,4.5
25,3.3,3,5,3.5,4,3.5,3.5,4.8
26,6,6.3,6.3,4.8,6.5,5.8,6.5,7
27,4.7,4.3,5,5,5,5,5,5
28,4.3,4,4.3,4,4.8,4.8,4.8,5.3
29,5.3,3.7,5.7,4,3.8,3.8,4,4.5
30,5.3,4.3,4.7,4.3,5.5,3.5,6,6.3
31,4.7,5,7,5.8,6.8,6,7,7
32,4,5,6.3,4.3,5,4.3,3.8,6.3
33,5.3,5.3,6.3,4,6,5,5,6.5
34,4.7,4.7,7,4.3,4.3,4.5,2.8,5.5
35,4,4,6,4.3,5.8,5,4,6
36,6.7,5.7,7,6.3,6.3,5.3,5.5,6.5
37,3.7,5.3,4,4.8,4.3,4.3,4,3.5
38,5.7,5.7,5.7,5.8,5.3,5.8,5.8,5.5
39,6.3,6,6.7,5.8,6,6,6,7
40,3,3,5,3.3,4,2,2,4
41,3,2,4,1.8,3.3,1,1,3.3
42,2.7,3.3,5.3,3.8,4,3.3,3.3,4.8
43,5.7,5.7,6.3,6.3,6.3,6,6,6.3
44,5,6,7,5,6,5,5.5,7
45,5.7,6.3,5.7,5.5,6,5.8,5.3,6.3
46,5,5,7,4,5,5,5,5.3
47,3.3,4.7,4.3,3.3,3.8,3.8,4.5,4.3
48,4.3,4.7,6.7,4.8,5.8,4,4.5,5
49,3,4.7,6,4.5,5,4.5,1,4.8
50,5.7,5,6,5,6,5,5,6
51,5.3,7,5.7,4.8,5.8,5,6.5,6.3
52,7,6.7,6.7,4.8,7,5,5.5,7
53,4.7,4.3,5.3,3.5,6,5,4.5,5
54,5.7,6.7,6,5.8,6,5.5,5.8,5.8
55,4.7,3.7,4.7,3.8,4.5,4.3,4.8,4.5
56,4.3,3.7,5.7,4,4.5,4.5,4.8,5
57,5,5.3,6,4.5,5.3,5.3,5.5,4.8
58,4.3,6,5.3,5,3.3,5,3.8,4.5
59,4.7,4.3,6,4.3,4.8,4.3,4.5,5
60,5.7,5.3,4.7,5.3,4.5,4.5,4.8,4.5
61,2,3,2,2.5,2.5,2.5,2.5,2.5
62,4.7,5.7,7,3.8,6.5,5,4.8,6.8
63,4.7,6,5.3,5.8,5.5,5.8,4.5,5.5
64,7,5,7,5.8,5.5,5.3,4.8,6
65,4.3,4,7,4,7,4.5,4,6.8
66,6,6,7,6,7,6.5,4.5,7
67,2.7,2,2.3,2.5,2.5,2.3,2.5,2.5
68,5.7,5.3,5.3,5.3,5.5,5.8,5.5,5.5
69,5,5,5,4,5,4.8,4.5,5.8
70,7,6,7,6.3,5.5,5.3,6,6.3
71,7,7,6.7,6.8,6.8,5.5,5.5,5.8
72,4,4,6,4.5,5.3,4.3,2.5,6.3
73,5,3.3,5.7,4.8,5.8,4.5,4.8,5.8
74,3.3,4,6.3,4,5.3,5.5,2.8,4.5
75,4.7,5.3,5.7,5,5.8,4.5,4.5,7
76,5.7,5.3,6,6,6.5,6.3,5.5,6.3
77,5.7,5.7,5.7,3.8,4,4,3.5,4.8
78,6,6,6.3,6.3,6,6.3,6.5,6
79,4,4,5.3,4.3,3.5,4.3,4.5,5
80,4.7,5.3,6.3,4.8,7,6.5,7,6.5
81,3.7,3.3,5.7,3,5.3,3.3,4.3,5
82,4,4,6.3,3,4.5,4.3,3.3,5.3
83,4.7,4,6.3,4.5,6,6,6,6
84,5.7,6,7,5.5,7,4.3,4,7
85,5.7,5,6.3,5.8,7,5.8,5.5,6.5
86,5,5.3,6.3,5.5,5.5,5.5,5.8,5.8
87,5,5,5,4.8,5,4.8,5.5,5.3
88,4.7,6,6,4.5,4.3,5,4.5,5.8
89,5.3,5.3,6.3,5.5,5.5,5.3,5,5.3
90,4.3,4.7,4,4.5,4,4.5,3.8,4.5
91,5,4.7,6,4.8,5.5,4.5,4.8,5
92,5.7,6,7,5.5,6.8,5.8,5.5,6.3
93,6,4.3,5.7,5,4.8,4.8,5.5,5.8
94,4.3,4.3,4.3,3.8,4.5,4.3,3.8,3.8
95,5,5,6,4.8,5,4.3,4.3,5.3
96,6,4.7,7,4,6,3.3,4,6.8
97,3.7,2.7,6.3,2.8,4.8,4,1.8,6
98,3.3,4,4.7,4.3,4.5,4.3,4.5,5
99,6,5.7,7,4.8,7,7,6.3,7
100,4.3,5,4,4.8,4.3,4,5,5
